year_month,month_of_release,passenger_type,direction,sex,age,estimate
2005-11,2020-09,Long-term migrant,Departures,Male,10-14 years,175
2005-11,2020-09,Long-term migrant,Departures,Female,15-19 years,407
2005-11,2020-09,Long-term migrant,Departures,Male,15-19 years,462
2005-11,2020-09,Long-term migrant,Departures,Female,20-24 years,798
2005-11,2020-09,Long-term migrant,Departures,Male,20-24 years,863
2005-11,2020-09,Long-term migrant,Departures,Female,25-29 years,536
2005-11,2020-09,Long-term migrant,Departures,Male,25-29 years,591
2005-11,2020-09,Long-term migrant,Departures,Female,30-34 years,326
2005-11,2020-09,Long-term migrant,Departures,Male,30-34 years,363
2005-11,2020-09,Long-term migrant,Departures,Female,35-39 years,264
2005-11,2020-09,Long-term migrant,Departures,Male,35-39 years,279
2005-11,2020-09,Long-term migrant,Departures,Female,40-44 years,197
2005-11,2020-09,Long-term migrant,Departures,Male,40-44 years,254
2005-11,2020-09,Long-term migrant,Departures,Female,45-49 years,177
2005-11,2020-09,Long-term migrant,Departures,Male,45-49 years,202
2005-11,2020-09,Long-term migrant,Departures,Female,5-9 years,139
2005-11,2020-09,Long-term migrant,Departures,Male,5-9 years,182
2005-11,2020-09,Long-term migrant,Departures,Female,50-54 years,122
2005-11,2020-09,Long-term migrant,Departures,Male,50-54 years,127
2005-11,2020-09,Long-term migrant,Departures,Female,55-59 years,88
2005-11,2020-09,Long-term migrant,Departures,Male,55-59 years,84
2005-11,2020-09,Long-term migrant,Departures,Female,60-64 years,52
2005-11,2020-09,Long-term migrant,Departures,Male,60-64 years,47
2005-11,2020-09,Long-term migrant,Departures,Female,65-69 years,44
2005-11,2020-09,Long-term migrant,Departures,Male,65-69 years,51
2005-11,2020-09,Long-term migrant,Departures,Female,70-74 years,30
2005-11,2020-09,Long-term migrant,Departures,Male,70-74 years,20
2005-11,2020-09,Long-term migrant,Departures,Female,75-79 years,14
2005-11,2020-09,Long-term migrant,Departures,Male,75-79 years,19
2005-11,2020-09,Long-term migrant,Departures,Female,80-84 years,10
2005-11,2020-09,Long-term migrant,Departures,Male,80-84 years,10
2005-11,2020-09,Long-term migrant,Departures,Female,85-89 years,2
2005-11,2020-09,Long-term migrant,Departures,Male,85-89 years,3
2005-11,2020-09,Long-term migrant,Departures,Male,90+ years,2
2005-11,2020-09,Long-term migrant,Net,Female,0-4 years,88
2005-11,2020-09,Long-term migrant,Net,Male,0-4 years,98
2005-11,2020-09,Long-term migrant,Net,Female,10-14 years,75
2005-11,2020-09,Long-term migrant,Net,Male,10-14 years,59
2005-11,2020-09,Long-term migrant,Net,Female,15-19 years,-170
2005-11,2020-09,Long-term migrant,Net,Male,15-19 years,-224
2005-11,2020-09,Long-term migrant,Net,Female,20-24 years,-282
2005-11,2020-09,Long-term migrant,Net,Male,20-24 years,-360
2005-11,2020-09,Long-term migrant,Net,Female,25-29 years,250
2005-11,2020-09,Long-term migrant,Net,Male,25-29 years,122
2005-11,2020-09,Long-term migrant,Net,Female,30-34 years,278
2005-11,2020-09,Long-term migrant,Net,Male,30-34 years,246
2005-11,2020-09,Long-term migrant,Net,Female,35-39 years,150
2005-11,2020-09,Long-term migrant,Net,Male,35-39 years,169
2005-11,2020-09,Long-term migrant,Net,Female,40-44 years,100
2005-11,2020-09,Long-term migrant,Net,Male,40-44 years,94
2005-11,2020-09,Long-term migrant,Net,Female,45-49 years,28
2005-11,2020-09,Long-term migrant,Net,Male,45-49 years,55
2005-11,2020-09,Long-term migrant,Net,Female,5-9 years,121
2005-11,2020-09,Long-term migrant,Net,Male,5-9 years,44
2005-11,2020-09,Long-term migrant,Net,Female,50-54 years,33
2005-11,2020-09,Long-term migrant,Net,Male,50-54 years,44
2005-11,2020-09,Long-term migrant,Net,Female,55-59 years,57
2005-11,2020-09,Long-term migrant,Net,Male,55-59 years,60
2005-11,2020-09,Long-term migrant,Net,Female,60-64 years,65
2005-11,2020-09,Long-term migrant,Net,Male,60-64 years,69
2005-11,2020-09,Long-term migrant,Net,Female,65-69 years,13
2005-11,2020-09,Long-term migrant,Net,Male,65-69 years,22
2005-11,2020-09,Long-term migrant,Net,Female,70-74 years,-6
2005-11,2020-09,Long-term migrant,Net,Male,70-74 years,12
2005-11,2020-09,Long-term migrant,Net,Female,75-79 years,12
2005-11,2020-09,Long-term migrant,Net,Male,75-79 years,-1
2005-11,2020-09,Long-term migrant,Net,Female,80-84 years,6
2005-11,2020-09,Long-term migrant,Net,Male,80-84 years,-1
2005-11,2020-09,Long-term migrant,Net,Female,85-89 years,1
2005-11,2020-09,Long-term migrant,Net,Male,85-89 years,2
2005-11,2020-09,Long-term migrant,Net,Female,90+ years,6
2005-11,2020-09,Long-term migrant,Net,Male,90+ years,-1
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,624
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,472
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,475
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,1019
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,1499
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,1213
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,862
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,645
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,462
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,486
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,326
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,289
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,233
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,130
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,56
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,44
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,25
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,8
2005-11,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,438
2005-11,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,338
2005-11,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,869
2005-11,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,1661
2005-11,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,1127
2005-11,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,689
2005-11,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,543
2005-11,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,451
2005-11,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,379
2005-11,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,321
2005-11,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,249
2005-11,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,172
2005-11,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,99
2005-11,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,95
2005-11,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,50
2005-11,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,33
2005-11,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,20
2005-11,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,5
2005-11,2020-09,Long-term migrant,Net,TOTAL,0-4 years,186
2005-11,2020-09,Long-term migrant,Net,TOTAL,10-14 years,134
2005-11,2020-09,Long-term migrant,Net,TOTAL,15-19 years,-394
2005-11,2020-09,Long-term migrant,Net,TOTAL,20-24 years,-642
2005-11,2020-09,Long-term migrant,Net,TOTAL,25-29 years,372
2005-11,2020-09,Long-term migrant,Net,TOTAL,30-34 years,524
2005-11,2020-09,Long-term migrant,Net,TOTAL,35-39 years,319
2005-11,2020-09,Long-term migrant,Net,TOTAL,40-44 years,194
2005-11,2020-09,Long-term migrant,Net,TOTAL,45-49 years,83
2005-11,2020-09,Long-term migrant,Net,TOTAL,5-9 years,165
2005-11,2020-09,Long-term migrant,Net,TOTAL,50-54 years,77
2005-11,2020-09,Long-term migrant,Net,TOTAL,55-59 years,117
2005-11,2020-09,Long-term migrant,Net,TOTAL,60-64 years,134
2005-11,2020-09,Long-term migrant,Net,TOTAL,65-69 years,35
2005-11,2020-09,Long-term migrant,Net,TOTAL,70-74 years,6
2005-11,2020-09,Long-term migrant,Net,TOTAL,75-79 years,11
2005-11,2020-09,Long-term migrant,Net,TOTAL,80-84 years,5
2005-11,2020-09,Long-term migrant,Net,TOTAL,85-89 years,3
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,7
2005-11,2020-09,Long-term migrant,Departures,TOTAL,90+ years,2
2005-11,2020-09,Long-term migrant,Net,TOTAL,90+ years,5
2005-11,2020-09,Long-term migrant,Arrivals,Female,TOTAL,4410
2005-11,2020-09,Long-term migrant,Arrivals,Male,TOTAL,4465
2005-11,2020-09,Long-term migrant,Departures,Female,TOTAL,3585
2005-11,2020-09,Long-term migrant,Departures,Male,TOTAL,3956
2005-11,2020-09,Long-term migrant,Net,Female,TOTAL,825
2005-11,2020-09,Long-term migrant,Net,Male,TOTAL,509
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,8875
2005-11,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,7541
2005-11,2020-09,Long-term migrant,Net,TOTAL,TOTAL,1334
2005-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,384
2005-12,2020-09,Long-term migrant,Arrivals,Male,0-4 years,428
2005-12,2020-09,Long-term migrant,Arrivals,Female,10-14 years,432
2005-12,2020-09,Long-term migrant,Arrivals,Male,10-14 years,436
2005-12,2020-09,Long-term migrant,Arrivals,Female,15-19 years,379
2005-12,2020-09,Long-term migrant,Arrivals,Male,15-19 years,408
2005-12,2020-09,Long-term migrant,Arrivals,Female,20-24 years,631
2005-12,2020-09,Long-term migrant,Arrivals,Male,20-24 years,574
2005-12,2020-09,Long-term migrant,Arrivals,Female,25-29 years,1051
2005-12,2020-09,Long-term migrant,Arrivals,Male,25-29 years,897
2005-12,2020-09,Long-term migrant,Arrivals,Female,30-34 years,810
2005-12,2020-09,Long-term migrant,Arrivals,Male,30-34 years,760
2005-12,2020-09,Long-term migrant,Arrivals,Female,35-39 years,514
2005-12,2020-09,Long-term migrant,Arrivals,Male,35-39 years,558
2005-12,2020-09,Long-term migrant,Arrivals,Female,40-44 years,391
2005-12,2020-09,Long-term migrant,Arrivals,Male,40-44 years,394
2005-12,2020-09,Long-term migrant,Arrivals,Female,45-49 years,279
2005-12,2020-09,Long-term migrant,Arrivals,Male,45-49 years,276
2005-12,2020-09,Long-term migrant,Arrivals,Female,5-9 years,373
2005-12,2020-09,Long-term migrant,Arrivals,Male,5-9 years,432
2005-12,2020-09,Long-term migrant,Arrivals,Female,50-54 years,228
2005-12,2020-09,Long-term migrant,Arrivals,Male,50-54 years,182
2005-12,2020-09,Long-term migrant,Arrivals,Female,55-59 years,195
2005-12,2020-09,Long-term migrant,Arrivals,Male,55-59 years,172
2005-12,2020-09,Long-term migrant,Arrivals,Female,60-64 years,112
2005-12,2020-09,Long-term migrant,Arrivals,Male,60-64 years,127
2005-12,2020-09,Long-term migrant,Arrivals,Female,65-69 years,92
2005-12,2020-09,Long-term migrant,Arrivals,Male,65-69 years,87
2005-12,2020-09,Long-term migrant,Arrivals,Female,70-74 years,46
2005-12,2020-09,Long-term migrant,Arrivals,Male,70-74 years,31
2005-12,2020-09,Long-term migrant,Arrivals,Female,75-79 years,30
2005-12,2020-09,Long-term migrant,Arrivals,Male,75-79 years,16
2005-12,2020-09,Long-term migrant,Arrivals,Female,80-84 years,17
2005-12,2020-09,Long-term migrant,Arrivals,Male,80-84 years,9
2005-12,2020-09,Long-term migrant,Arrivals,Female,85-89 years,11
2005-12,2020-09,Long-term migrant,Arrivals,Male,85-89 years,8
2005-12,2020-09,Long-term migrant,Arrivals,Female,90+ years,4
2005-12,2020-09,Long-term migrant,Arrivals,Male,90+ years,5
2005-12,2020-09,Long-term migrant,Departures,Female,0-4 years,292
2005-12,2020-09,Long-term migrant,Departures,Male,0-4 years,308
2005-12,2020-09,Long-term migrant,Departures,Female,10-14 years,513
2005-12,2020-09,Long-term migrant,Departures,Male,10-14 years,628
2005-12,2020-09,Long-term migrant,Departures,Female,15-19 years,558
2005-12,2020-09,Long-term migrant,Departures,Male,15-19 years,692
2005-12,2020-09,Long-term migrant,Departures,Female,20-24 years,916
2005-12,2020-09,Long-term migrant,Departures,Male,20-24 years,929
2005-12,2020-09,Long-term migrant,Departures,Female,25-29 years,625
2005-12,2020-09,Long-term migrant,Departures,Male,25-29 years,763
2005-12,2020-09,Long-term migrant,Departures,Female,30-34 years,422
2005-12,2020-09,Long-term migrant,Departures,Male,30-34 years,479
2005-12,2020-09,Long-term migrant,Departures,Female,35-39 years,387
2005-12,2020-09,Long-term migrant,Departures,Male,35-39 years,338
2005-12,2020-09,Long-term migrant,Departures,Female,40-44 years,386
2005-12,2020-09,Long-term migrant,Departures,Male,40-44 years,281
2005-12,2020-09,Long-term migrant,Departures,Female,45-49 years,233
2005-12,2020-09,Long-term migrant,Departures,Male,45-49 years,228
2005-12,2020-09,Long-term migrant,Departures,Female,5-9 years,314
2005-12,2020-09,Long-term migrant,Departures,Male,5-9 years,324
2005-12,2020-09,Long-term migrant,Departures,Female,50-54 years,200
2005-12,2020-09,Long-term migrant,Departures,Male,50-54 years,171
2005-12,2020-09,Long-term migrant,Departures,Female,55-59 years,125
2005-12,2020-09,Long-term migrant,Departures,Male,55-59 years,121
2005-12,2020-09,Long-term migrant,Departures,Female,60-64 years,66
2005-12,2020-09,Long-term migrant,Departures,Male,60-64 years,54
2005-12,2020-09,Long-term migrant,Departures,Female,65-69 years,36
2005-12,2020-09,Long-term migrant,Departures,Male,65-69 years,56
2005-12,2020-09,Long-term migrant,Departures,Female,70-74 years,40
2005-12,2020-09,Long-term migrant,Departures,Male,70-74 years,24
2005-12,2020-09,Long-term migrant,Departures,Female,75-79 years,14
2005-12,2020-09,Long-term migrant,Departures,Male,75-79 years,21
2005-12,2020-09,Long-term migrant,Departures,Female,80-84 years,15
2005-12,2020-09,Long-term migrant,Departures,Male,80-84 years,7
2005-12,2020-09,Long-term migrant,Departures,Female,85-89 years,5
2005-12,2020-09,Long-term migrant,Departures,Male,85-89 years,1
2005-12,2020-09,Long-term migrant,Departures,Female,90+ years,3
2005-12,2020-09,Long-term migrant,Net,Female,0-4 years,92
2005-12,2020-09,Long-term migrant,Net,Male,0-4 years,120
2005-12,2020-09,Long-term migrant,Net,Female,10-14 years,-81
2005-12,2020-09,Long-term migrant,Net,Male,10-14 years,-192
2005-12,2020-09,Long-term migrant,Net,Female,15-19 years,-179
2005-12,2020-09,Long-term migrant,Net,Male,15-19 years,-284
2005-12,2020-09,Long-term migrant,Net,Female,20-24 years,-285
2005-12,2020-09,Long-term migrant,Net,Male,20-24 years,-355
2005-12,2020-09,Long-term migrant,Net,Female,25-29 years,426
2005-12,2020-09,Long-term migrant,Net,Male,25-29 years,134
2005-12,2020-09,Long-term migrant,Net,Female,30-34 years,388
2005-12,2020-09,Long-term migrant,Net,Male,30-34 years,281
2005-12,2020-09,Long-term migrant,Net,Female,35-39 years,127
2005-12,2020-09,Long-term migrant,Net,Male,35-39 years,220
2005-12,2020-09,Long-term migrant,Net,Female,40-44 years,5
2005-12,2020-09,Long-term migrant,Net,Male,40-44 years,113
2005-12,2020-09,Long-term migrant,Net,Female,45-49 years,46
2005-12,2020-09,Long-term migrant,Net,Male,45-49 years,48
2005-12,2020-09,Long-term migrant,Net,Female,5-9 years,59
2005-12,2020-09,Long-term migrant,Net,Male,5-9 years,108
2005-12,2020-09,Long-term migrant,Net,Female,50-54 years,28
2005-12,2020-09,Long-term migrant,Net,Male,50-54 years,11
2005-12,2020-09,Long-term migrant,Net,Female,55-59 years,70
2005-12,2020-09,Long-term migrant,Net,Male,55-59 years,51
2005-12,2020-09,Long-term migrant,Net,Female,60-64 years,46
2005-12,2020-09,Long-term migrant,Net,Male,60-64 years,73
2005-12,2020-09,Long-term migrant,Net,Female,65-69 years,56
2005-12,2020-09,Long-term migrant,Net,Male,65-69 years,31
2005-12,2020-09,Long-term migrant,Net,Female,70-74 years,6
2005-12,2020-09,Long-term migrant,Net,Male,70-74 years,7
2005-12,2020-09,Long-term migrant,Net,Female,75-79 years,16
2005-12,2020-09,Long-term migrant,Net,Male,75-79 years,-5
2005-12,2020-09,Long-term migrant,Net,Female,80-84 years,2
2005-12,2020-09,Long-term migrant,Net,Male,80-84 years,2
2005-12,2020-09,Long-term migrant,Net,Female,85-89 years,6
2005-12,2020-09,Long-term migrant,Net,Male,85-89 years,7
2005-12,2020-09,Long-term migrant,Net,Female,90+ years,1
2005-12,2020-09,Long-term migrant,Net,Male,90+ years,5
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,812
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,868
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,787
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,1205
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,1948
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,1570
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,1072
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,785
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,555
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,805
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,410
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,367
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,239
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,179
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,77
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,46
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,26
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,19
2005-12,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,600
2005-12,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,1141
2005-12,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,1250
2005-12,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,1845
2005-12,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,1388
2005-12,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,901
2005-12,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,725
2005-12,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,667
2005-12,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,461
2005-12,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,638
2005-12,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,371
2005-12,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,246
2005-12,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,120
2005-12,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,92
2005-12,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,64
2005-12,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,35
2005-12,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,22
2005-12,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,6
2005-12,2020-09,Long-term migrant,Net,TOTAL,0-4 years,212
2005-12,2020-09,Long-term migrant,Net,TOTAL,10-14 years,-273
2005-12,2020-09,Long-term migrant,Net,TOTAL,15-19 years,-463
2005-12,2020-09,Long-term migrant,Net,TOTAL,20-24 years,-640
2005-12,2020-09,Long-term migrant,Net,TOTAL,25-29 years,560
2005-12,2020-09,Long-term migrant,Net,TOTAL,30-34 years,669
2005-12,2020-09,Long-term migrant,Net,TOTAL,35-39 years,347
2005-12,2020-09,Long-term migrant,Net,TOTAL,40-44 years,118
2005-12,2020-09,Long-term migrant,Net,TOTAL,45-49 years,94
2005-12,2020-09,Long-term migrant,Net,TOTAL,5-9 years,167
2005-12,2020-09,Long-term migrant,Net,TOTAL,50-54 years,39
2005-12,2020-09,Long-term migrant,Net,TOTAL,55-59 years,121
2005-12,2020-09,Long-term migrant,Net,TOTAL,60-64 years,119
2005-12,2020-09,Long-term migrant,Net,TOTAL,65-69 years,87
2005-12,2020-09,Long-term migrant,Net,TOTAL,70-74 years,13
2005-12,2020-09,Long-term migrant,Net,TOTAL,75-79 years,11
2005-12,2020-09,Long-term migrant,Net,TOTAL,80-84 years,4
2005-12,2020-09,Long-term migrant,Net,TOTAL,85-89 years,13
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,9
2005-12,2020-09,Long-term migrant,Departures,TOTAL,90+ years,3
2005-12,2020-09,Long-term migrant,Net,TOTAL,90+ years,6
2005-12,2020-09,Long-term migrant,Arrivals,Female,TOTAL,5979
2005-12,2020-09,Long-term migrant,Arrivals,Male,TOTAL,5800
2005-12,2020-09,Long-term migrant,Departures,Female,TOTAL,5150
2005-12,2020-09,Long-term migrant,Departures,Male,TOTAL,5425
2005-12,2020-09,Long-term migrant,Net,Female,TOTAL,829
2005-12,2020-09,Long-term migrant,Net,Male,TOTAL,375
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,11779
2005-12,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,10575
2005-12,2020-09,Long-term migrant,Net,TOTAL,TOTAL,1204
2006-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,372
2006-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,383
2006-01,2020-09,Long-term migrant,Arrivals,Female,10-14 years,477
2006-01,2020-09,Long-term migrant,Arrivals,Male,10-14 years,480
2006-01,2020-09,Long-term migrant,Arrivals,Female,15-19 years,482
2006-01,2020-09,Long-term migrant,Arrivals,Male,15-19 years,495
2006-01,2020-09,Long-term migrant,Arrivals,Female,20-24 years,597
2006-01,2020-09,Long-term migrant,Arrivals,Male,20-24 years,462
2006-01,2020-09,Long-term migrant,Arrivals,Female,25-29 years,833
2006-01,2020-09,Long-term migrant,Arrivals,Male,25-29 years,753
2006-01,2020-09,Long-term migrant,Arrivals,Female,30-34 years,691
2006-01,2020-09,Long-term migrant,Arrivals,Male,30-34 years,637
2006-01,2020-09,Long-term migrant,Arrivals,Female,35-39 years,516
2006-01,2020-09,Long-term migrant,Arrivals,Male,35-39 years,549
2006-01,2020-09,Long-term migrant,Arrivals,Female,40-44 years,411
2006-01,2020-09,Long-term migrant,Arrivals,Male,40-44 years,424
2006-01,2020-09,Long-term migrant,Arrivals,Female,45-49 years,275
2006-01,2020-09,Long-term migrant,Arrivals,Male,45-49 years,246
2006-01,2020-09,Long-term migrant,Arrivals,Female,5-9 years,423
2006-01,2020-09,Long-term migrant,Arrivals,Male,5-9 years,436
2006-01,2020-09,Long-term migrant,Arrivals,Female,50-54 years,147
2006-01,2020-09,Long-term migrant,Arrivals,Male,50-54 years,168
2006-01,2020-09,Long-term migrant,Arrivals,Female,55-59 years,119
2006-01,2020-09,Long-term migrant,Arrivals,Male,55-59 years,125
2006-01,2020-09,Long-term migrant,Arrivals,Female,60-64 years,95
2006-01,2020-09,Long-term migrant,Arrivals,Male,60-64 years,89
2006-01,2020-09,Long-term migrant,Arrivals,Female,65-69 years,59
2006-01,2020-09,Long-term migrant,Arrivals,Male,65-69 years,57
2006-01,2020-09,Long-term migrant,Arrivals,Female,70-74 years,25
2006-01,2020-09,Long-term migrant,Arrivals,Male,70-74 years,30
2006-01,2020-09,Long-term migrant,Arrivals,Female,75-79 years,14
2006-01,2020-09,Long-term migrant,Arrivals,Male,75-79 years,15
2006-01,2020-09,Long-term migrant,Arrivals,Female,80-84 years,11
2006-01,2020-09,Long-term migrant,Arrivals,Male,80-84 years,6
2006-01,2020-09,Long-term migrant,Arrivals,Female,85-89 years,5
2006-01,2020-09,Long-term migrant,Arrivals,Male,85-89 years,5
2006-01,2020-09,Long-term migrant,Arrivals,Female,90+ years,5
2006-01,2020-09,Long-term migrant,Arrivals,Male,90+ years,4
2006-01,2020-09,Long-term migrant,Departures,Female,0-4 years,275
2006-01,2020-09,Long-term migrant,Departures,Male,0-4 years,282
2006-01,2020-09,Long-term migrant,Departures,Female,10-14 years,286
2006-01,2020-09,Long-term migrant,Departures,Male,10-14 years,317
2006-01,2020-09,Long-term migrant,Departures,Female,15-19 years,361
2006-01,2020-09,Long-term migrant,Departures,Male,15-19 years,336
2006-01,2020-09,Long-term migrant,Departures,Female,20-24 years,689
2006-01,2020-09,Long-term migrant,Departures,Male,20-24 years,637
2006-01,2020-09,Long-term migrant,Departures,Female,25-29 years,555
2006-01,2020-09,Long-term migrant,Departures,Male,25-29 years,585
2006-01,2020-09,Long-term migrant,Departures,Female,30-34 years,358
2006-01,2020-09,Long-term migrant,Departures,Male,30-34 years,387
2006-01,2020-09,Long-term migrant,Departures,Female,35-39 years,308
2006-01,2020-09,Long-term migrant,Departures,Male,35-39 years,271
2006-01,2020-09,Long-term migrant,Departures,Female,40-44 years,230
2006-01,2020-09,Long-term migrant,Departures,Male,40-44 years,294
2006-01,2020-09,Long-term migrant,Departures,Female,45-49 years,201
2006-01,2020-09,Long-term migrant,Departures,Male,45-49 years,186
2006-01,2020-09,Long-term migrant,Departures,Female,5-9 years,285
2006-01,2020-09,Long-term migrant,Departures,Male,5-9 years,256
2006-01,2020-09,Long-term migrant,Departures,Female,50-54 years,136
2006-01,2020-09,Long-term migrant,Departures,Male,50-54 years,163
2006-01,2020-09,Long-term migrant,Departures,Female,55-59 years,85
2006-01,2020-09,Long-term migrant,Departures,Male,55-59 years,120
2006-01,2020-09,Long-term migrant,Departures,Female,60-64 years,59
2006-01,2020-09,Long-term migrant,Departures,Male,60-64 years,65
2006-01,2020-09,Long-term migrant,Departures,Female,65-69 years,42
2006-01,2020-09,Long-term migrant,Departures,Male,65-69 years,34
2006-01,2020-09,Long-term migrant,Departures,Female,70-74 years,27
2006-01,2020-09,Long-term migrant,Departures,Male,70-74 years,25
2006-01,2020-09,Long-term migrant,Departures,Female,75-79 years,13
2006-01,2020-09,Long-term migrant,Departures,Male,75-79 years,12
2006-01,2020-09,Long-term migrant,Departures,Female,80-84 years,6
2006-01,2020-09,Long-term migrant,Departures,Male,80-84 years,6
2006-01,2020-09,Long-term migrant,Departures,Female,85-89 years,3
2006-01,2020-09,Long-term migrant,Departures,Male,85-89 years,2
2006-01,2020-09,Long-term migrant,Departures,Female,90+ years,2
2006-01,2020-09,Long-term migrant,Departures,Male,90+ years,2
2006-01,2020-09,Long-term migrant,Net,Female,0-4 years,97
2006-01,2020-09,Long-term migrant,Net,Male,0-4 years,101
2006-01,2020-09,Long-term migrant,Net,Female,10-14 years,191
2006-01,2020-09,Long-term migrant,Net,Male,10-14 years,163
2006-01,2020-09,Long-term migrant,Net,Female,15-19 years,121
2006-01,2020-09,Long-term migrant,Net,Male,15-19 years,159
2006-01,2020-09,Long-term migrant,Net,Female,20-24 years,-92
2006-01,2020-09,Long-term migrant,Net,Male,20-24 years,-175
2006-01,2020-09,Long-term migrant,Net,Female,25-29 years,278
2006-01,2020-09,Long-term migrant,Net,Male,25-29 years,168
2006-01,2020-09,Long-term migrant,Net,Female,30-34 years,333
2006-01,2020-09,Long-term migrant,Net,Male,30-34 years,250
2006-01,2020-09,Long-term migrant,Net,Female,35-39 years,208
2006-01,2020-09,Long-term migrant,Net,Male,35-39 years,278
2006-01,2020-09,Long-term migrant,Net,Female,40-44 years,181
